website,full_name,full_bio,age,hometown,education,experience,photo_url
http://www.paramountfamilydental.com/staff,"When he is not in our office, Dr. Hisel travels for the American Dental Association or can be found volunteering in any number of dental related community projects. He has served as a team Dentist for the Idaho Steelheads, was a member of the Idaho Dental Forensics Team and was on staff at St. Alphonsus Regional Medical Center for 25 years. Together with daughter Melissa, he serves on the Board of Directors for Idaho’s Fellowship of Christian Athletes. Dr. Hisel and his wife Terri have always been a great team and together they developed and continue to be a part of a free dental clinic in Garden City which exists today as Genesis Community Health.","When he is not in our office, Dr. Hisel travels for the American Dental Association or can be found volunteering in any number of dental related community projects. He has served as a team Dentist for the Idaho Steelheads, was a member of the Idaho Dental Forensics Team and was on staff at St. Alphonsus Regional Medical Center for 25 years. Together with daughter Melissa, he serves on the Board of Directors for Idaho’s Fellowship of Christian Athletes. Dr. Hisel and his wife Terri have always been a great team and together they developed and continue to be a part of a free dental clinic in Garden City which exists today as Genesis Community Health.",,,,"When he is not in our office, Dr. Hisel travels for the American Dental Association or can be found volunteering in any number of dental related community projects. He has served as a team Dentist for the Idaho Steelheads, was a member of the Idaho Dental Forensics Team and was on staff at St. Alphonsus Regional Medical Center for 25 years. Together with daughter Melissa, he serves on the Board of Directors for Idaho’s Fellowship of Christian Athletes. Dr. Hisel and his wife Terri have always been a great team and together they developed and continue to be a part of a free dental clinic in Garden City which exists today as Genesis Community Health.",
http://www.paramountfamilydental.com/staff,"Dr. Hisel and Terri are longtime members of CityHope Church in Boise and also attend son John’s church, Engage Boise. When they are not traveling, he and Terri enjoy spending time at their lakeside cabin in Donnelly, cycling, and spending time with their families. Dr. Hisel loves college football (Go Broncos!) loves to golf and runs to train for marathons and half marathons.","Dr. Hisel and Terri are longtime members of CityHope Church in Boise and also attend son John’s church, Engage Boise. When they are not traveling, he and Terri enjoy spending time at their lakeside cabin in Donnelly, cycling, and spending time with their families. Dr. Hisel loves college football (Go Broncos!) loves to golf and runs to train for marathons and half marathons.",,,"Dr. Hisel and Terri are longtime members of CityHope Church in Boise and also attend son John’s church, Engage Boise. When they are not traveling, he and Terri enjoy spending time at their lakeside cabin in Donnelly, cycling, and spending time with their families. Dr. Hisel loves college football (Go Broncos!) loves to golf and runs to train for marathons and half marathons.",,
http://www.paramountfamilydental.com/staff,Dr. Eric Hoidal,"Dr. Eric
Hoidal",,,,,
http://www.paramountfamilydental.com/staff,Dr. Eric Hoidal has been with Paramount Family Dental since July 2008. He earned his undergraduate degree in Chemistry from the,"Dr. Eric Hoidal has been with Paramount Family Dental since July 2008. He earned his undergraduate degree in Chemistry from the
University of Oregon",,,"Dr. Eric Hoidal has been with Paramount Family Dental since July 2008. He earned his undergraduate degree in Chemistry from the
University of Oregon",,
http://www.paramountfamilydental.com/staff,"in 2003. While at Oregon, Dr. Hoidal was a member of the Dean’s list and received the 2003 Analytical Chemistry Award. He was also an active member of Campus Crusade for Christ. Dr. Hoidal was accepted into the Idaho Dental Education Program and attended his first year of dental school at","in 2003. While at Oregon, Dr. Hoidal was a member of the Dean’s list and received the 2003 Analytical Chemistry Award. He was also an active member of Campus Crusade for Christ. Dr. Hoidal was accepted into the Idaho Dental Education Program and attended his first year of dental school at
Idaho State University
. He then moved to Omaha, Nebraska to finish his final three years at
Creighton University’s Boyne School of Dental Science",,,"in 2003. While at Oregon, Dr. Hoidal was a member of the Dean’s list and received the 2003 Analytical Chemistry Award. He was also an active member of Campus Crusade for Christ. Dr. Hoidal was accepted into the Idaho Dental Education Program and attended his first year of dental school at
Idaho State University
Creighton University’s Boyne School of Dental Science","in 2003. While at Oregon, Dr. Hoidal was a member of the Dean’s list and received the 2003 Analytical Chemistry Award. He was also an active member of Campus Crusade for Christ. Dr. Hoidal was accepted into the Idaho Dental Education Program and attended his first year of dental school at
. He then moved to Omaha, Nebraska to finish his final three years at",
http://www.paramountfamilydental.com/staff,"Dr. Hoidal was a member of the Dean’s list at Creighton and was also listed in Who’s Who Among Students in Colleges and Universities. While in dental school, he was privileged to be a part of a medical/dental mission team traveling to the Dominican Republic. After dental school, Dr. Hoidal was accepted into the Idaho State University Advanced Education in General Dentistry Residency Program in Boise. He completed his residency on June 30, 2008. Professionally, Dr. Hoidal is a member of the","Dr. Hoidal was a member of the Dean’s list at Creighton and was also listed in Who’s Who Among Students in Colleges and Universities. While in dental school, he was privileged to be a part of a medical/dental mission team traveling to the Dominican Republic. After dental school, Dr. Hoidal was accepted into the Idaho State University Advanced Education in General Dentistry Residency Program in Boise. He completed his residency on June 30, 2008. Professionally, Dr. Hoidal is a member of the
American Dental Association
, the
Idaho State Dental Association
and the Southwest Idaho Dental Society.
Personal Info",,,"Dr. Hoidal was a member of the Dean’s list at Creighton and was also listed in Who’s Who Among Students in Colleges and Universities. While in dental school, he was privileged to be a part of a medical/dental mission team traveling to the Dominican Republic. After dental school, Dr. Hoidal was accepted into the Idaho State University Advanced Education in General Dentistry Residency Program in Boise. He completed his residency on June 30, 2008. Professionally, Dr. Hoidal is a member of the",,
http://www.paramountfamilydental.com/staff,"Dr. Hoidal was born and raised in Boise and attended Boise Schools. He graduated from Borah High School in 1999. While in high school, Dr. Hoidal participated in varsity football, basketball, track and tennis. He and his wife Michelle were married in the fall of 2009. They have 3 girls. Dr. Hoidal and his family live in Southwest Boise where they share their home with their dog, Griffin. They enjoy being outdoors and spending time as a family. His girls love to stop by the office to say hello. If you hear a little voice yelling “Daddy!” you know it is them looking for their favorite dentist.","Dr. Hoidal was born and raised in Boise and attended Boise Schools. He graduated from Borah High School in 1999. While in high school, Dr. Hoidal participated in varsity football, basketball, track and tennis. He and his wife Michelle were married in the fall of 2009. They have 3 girls. Dr. Hoidal and his family live in Southwest Boise where they share their home with their dog, Griffin. They enjoy being outdoors and spending time as a family. His girls love to stop by the office to say hello. If you hear a little voice yelling “Daddy!” you know it is them looking for their favorite dentist.",,,"Dr. Hoidal was born and raised in Boise and attended Boise Schools. He graduated from Borah High School in 1999. While in high school, Dr. Hoidal participated in varsity football, basketball, track and tennis. He and his wife Michelle were married in the fall of 2009. They have 3 girls. Dr. Hoidal and his family live in Southwest Boise where they share their home with their dog, Griffin. They enjoy being outdoors and spending time as a family. His girls love to stop by the office to say hello. If you hear a little voice yelling “Daddy!” you know it is them looking for their favorite dentist.",,
http://www.paramountfamilydental.com/staff,Dr. Daniel Ackerman,"Dr. Daniel
Ackerman",,,,,
http://www.paramountfamilydental.com/staff,"Dr. Daniel Ackerman joined Paramount Family Dental in November 2023 meeting many of our patients while in the office 1-2 days per week. It didn’t take us long to figure out that he was “great fit” for our team members and our patients, and we were thrilled to have him join our practice full time in July 2024. Prior to joining our team, Dr. Ackerman spent 5 years practicing with his father in our valley. Dr. Ackerman is grateful to be a part of our amazing team and feels very much at home at Paramount Family Dental!","Dr. Daniel Ackerman joined Paramount Family Dental in November 2023 meeting many of our patients while in the office 1-2 days per week. It didn’t take us long to figure out that he was “great fit” for our team members and our patients, and we were thrilled to have him join our practice full time in July 2024. Prior to joining our team, Dr. Ackerman spent 5 years practicing with his father in our valley. Dr. Ackerman is grateful to be a part of our amazing team and feels very much at home at Paramount Family Dental!",,,,"Dr. Daniel Ackerman joined Paramount Family Dental in November 2023 meeting many of our patients while in the office 1-2 days per week. It didn’t take us long to figure out that he was “great fit” for our team members and our patients, and we were thrilled to have him join our practice full time in July 2024. Prior to joining our team, Dr. Ackerman spent 5 years practicing with his father in our valley. Dr. Ackerman is grateful to be a part of our amazing team and feels very much at home at Paramount Family Dental!",
http://www.paramountfamilydental.com/staff,"Dr. Ackerman graduated with honors from Northern Arizona University with a degree in Biochemistry before attending Oregon Health and Science University School of Dentistry where he also graduated with honors. While at OHSU, he participated in a selective Tucker Gold study club that focused on conservative esthetic treatment in gold, receiving recognition for outstanding achievement in Implant Dentistry and Periodontology.","Dr. Ackerman graduated with honors from Northern Arizona University with a degree in Biochemistry before attending Oregon Health and Science University School of Dentistry where he also graduated with honors. While at OHSU, he participated in a selective Tucker Gold study club that focused on conservative esthetic treatment in gold, receiving recognition for outstanding achievement in Implant Dentistry and Periodontology.",,,"Dr. Ackerman graduated with honors from Northern Arizona University with a degree in Biochemistry before attending Oregon Health and Science University School of Dentistry where he also graduated with honors. While at OHSU, he participated in a selective Tucker Gold study club that focused on conservative esthetic treatment in gold, receiving recognition for outstanding achievement in Implant Dentistry and Periodontology.",,
http://www.paramountfamilydental.com/staff,"Dr. Ackerman was raised in the Meridian area from the age of 3 and is thankful to be able to raise his family in the Treasure Valley. He and his wife, Danielle, are high school sweethearts and were married in 2015. They live in Boise with their 2 young daughters Amelia and Adelyn, as well as their golden doodle Sampson and their cat Peanut. When he’s not taking care of patients, Dr. Ackerman naturally stays busy with his young family and enjoys snowboarding, mountain biking, and snow shoeing. He and Danielle both love the outdoors and enjoy spending time camping and hiking together.","Dr. Ackerman was raised in the Meridian area from the age of 3 and is thankful to be able to raise his family in the Treasure Valley. He and his wife, Danielle, are high school sweethearts and were married in 2015. They live in Boise with their 2 young daughters Amelia and Adelyn, as well as their golden doodle Sampson and their cat Peanut. When he’s not taking care of patients, Dr. Ackerman naturally stays busy with his young family and enjoys snowboarding, mountain biking, and snow shoeing. He and Danielle both love the outdoors and enjoy spending time camping and hiking together.",,,,,
http://www.paramountfamilydental.com/staff,"Professionally, Dr. Ackerman is a member of the Southwest Idaho Dental Society, the Idaho State Dental Association and the American Dental Association","Professionally, Dr. Ackerman is a member of the Southwest Idaho Dental Society, the Idaho State Dental Association and the American Dental Association
A Personal Message From Dr Ackerman
“I am so excited to get to know the patients of this wonderful practice! It is my goal to earn your trust and care for all of your dental needs as well as build relationships on a personal level. Thank you for giving me an opportunity to get to know you, and I look forward to helping you maintain your oral health in a way that is tailored to your specific goals.”",,,,"“I am so excited to get to know the patients of this wonderful practice! It is my goal to earn your trust and care for all of your dental needs as well as build relationships on a personal level. Thank you for giving me an opportunity to get to know you, and I look forward to helping you maintain your oral health in a way that is tailored to your specific goals.”",
